_id,name,author,translator,artist,editor,publishing,year,series,collection,genre,weight,dimensions.length,dimensions.width,dimensions.height,rating,price,link
855773,Очень простые вещи,Игнатова Анна Сергеевна,,,,Пять четвертей,2022,Искажения,,Приключения. Детективы,328,217,145,13,9.61,389,https://www.labirint.ru/books/855773/
848214,Микки-7,Эштон Эдвард,Валеева Мария,,,Аркадия,2023,Семь солнц,,Современная зарубежная проза,458,208,133,23,9.24,518,https://www.labirint.ru/books/848214/
996736,Восход над деревом гинкго,Кондрацкая Елена Анатольевна,,"Морозова Евгения, Кондрацкая Елена Анатольевна",,Черным-бело,2024,Young Adult. Книжный бунт. Фантастика,,Современная отечественная проза,510,210,135,32,9.71,710,https://www.labirint.ru/books/996736/
941247,Ужас Данвича,Лавкрафт Говард Филлипс,Мусихин Евгений,Баранже Франсуа,,Азбука,2024,Больше чем книга,,Классическая зарубежная фантастика,1070,360,280,12,9.89,1659,https://www.labirint.ru/books/941247/
970725,Космоолухи. Киберканикулы,Громыко Ольга Николаевна,,Белоголовская Гета,,Альфа-книга,2023,Фантастический боевик,,Современная отечественная проза,268,207,131,21,9,295,https://www.labirint.ru/books/970725/
760571,Ересь Хоруса. Книга II. Полет Эйзенштейна. Фулгрим. Сошествие Ангелов (иллюстрированное),"Макнилл Грэм, Сваллоу Джеймс, Сканлон Митчел",Савельева Ирина,,,Фантастика,2020,The Horus Heresy,,Современная зарубежная проза,1522,245,175,52,10,1637,https://www.labirint.ru/books/760571/
1009538,Самая страшная книга. Из бездны,Шендеров Герман,,,,АСТ,2024,Самая страшная книга,,Современная отечественная проза,480,140,210,50,5.5,641,https://www.labirint.ru/books/1009538/
901257,Зеркало алхимика,Мазурова Юлия Валерьевна,,Мальцева Дарья,,Абраказябра,2022,Девочка из будущего,,,485,227,175,16,9.28,653,https://www.labirint.ru/books/901257/
1003701,Шолох. Теневые блики,Крейн Антонина,,,,Эксмо-Пресс,2024,Young Adult. Книжный бунт. Фантастика,,Современная отечественная проза,482,213,138,27,9.5,498,https://www.labirint.ru/books/1003701/
978147,Белый шум,Шушканов Павел Александрович,,,,Пять четвертей,2023,Искажения,,Молодежная литература,374,216,146,16,9.09,504,https://www.labirint.ru/books/978147/
