,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,3,65.0,8450,1,1,3,3,0,4,0,5,2,2,0,5,2.0794415416798357,5,2003,2003,1,1,12,13,1,196.0,2,4,2,2,4,4,2,706,6,0,150,856,1,0,1,4,856,854,0,7.444833273892193,1,0,2,1,3,1,2,8,6,0,3,1,2003.0,2,2,548,5,5,2,0,61,0,0,0,0,3,4,1,0,2,2008,8,4,12.24769911637256
1,2,20,3,80.0,9600,1,1,3,3,0,2,0,24,1,2,0,2,1.9459101490553132,8,1976,1976,1,1,8,8,2,0.0,3,4,1,2,4,1,0,978,6,0,284,1262,1,0,1,4,1262,0,0,7.141245122350491,0,1,2,0,3,1,3,6,6,1,5,1,1976.0,2,2,460,5,5,2,298,0,0,0,0,0,3,4,1,0,5,2007,8,4,12.109016442313738
2,3,60,3,68.0,11250,1,1,0,3,0,4,0,5,2,2,0,5,2.0794415416798357,5,2001,2002,1,1,12,13,1,162.0,2,4,2,2,4,2,2,486,6,0,434,920,1,0,1,4,920,866,0,7.488293515159428,1,0,2,1,3,1,2,6,6,1,5,1,2001.0,2,2,608,5,5,2,0,42,0,0,0,0,3,4,1,0,9,2008,8,4,12.317171167298682
3,4,70,3,60.0,9550,1,1,0,3,0,0,0,6,2,2,0,5,2.0794415416798357,5,1915,1970,1,1,13,15,2,0.0,3,4,0,4,1,4,0,216,6,0,540,756,1,2,1,4,961,756,0,7.4489161025442,1,0,1,0,3,1,2,7,6,1,2,5,1998.0,3,3,642,5,5,2,0,35,272,0,0,0,3,4,1,0,2,2006,8,0,11.849404844423074
4,5,60,3,84.0,14260,1,1,0,3,0,2,0,15,2,2,0,5,2.1972245773362196,5,2000,2000,1,1,12,13,1,350.0,2,4,2,2,4,0,2,655,6,0,490,1145,1,0,1,4,1145,1053,0,7.695757990554761,1,0,2,1,4,1,2,9,6,1,5,1,2000.0,2,3,836,5,5,2,192,84,0,0,0,0,3,4,1,0,12,2008,8,4,12.429220196836383
5,6,50,3,85.0,14115,1,1,0,3,0,4,0,11,2,2,0,0,1.791759469228055,5,1993,1995,1,1,12,13,2,0.0,3,4,5,2,4,4,2,732,6,0,64,796,1,0,1,4,796,566,0,7.217443431696533,1,0,1,1,1,1,3,5,6,0,3,1,1993.0,3,2,480,5,5,2,40,30,0,320,0,0,3,2,3,700,10,2009,8,4,11.870606902224587
6,7,20,3,75.0,10084,1,1,3,3,0,4,0,21,2,2,0,2,2.1972245773362196,5,2004,2005,1,1,12,13,3,186.0,2,4,2,0,4,0,2,1369,6,0,317,1686,1,0,1,4,1694,0,0,7.43543801981455,1,0,2,0,3,1,2,7,6,1,2,1,2004.0,2,2,636,5,5,2,255,57,0,0,0,0,3,4,1,0,8,2007,8,4,12.634606283893019
7,8,60,3,69.0,10382,1,1,0,3,0,0,0,14,4,2,0,5,2.0794415416798357,6,1973,1973,1,1,6,6,3,240.0,3,4,1,2,4,2,0,859,1,32,216,1107,1,0,1,4,1107,983,0,7.645397699428633,1,0,2,1,3,1,3,7,6,2,5,1,1973.0,2,2,484,5,5,2,235,204,228,0,0,0,3,4,3,350,11,2009,8,4,12.206077645517674
8,9,50,4,51.0,6120,1,1,3,3,0,4,0,17,0,2,0,0,2.0794415416798357,5,1931,1950,1,1,3,15,2,0.0,3,4,0,4,4,4,6,0,6,0,952,952,1,2,1,1,1022,752,0,7.4815557019095165,0,0,2,0,2,2,3,8,2,2,5,5,1931.0,3,2,468,1,5,2,90,0,205,0,0,0,3,4,1,0,4,2008,8,0,11.774527900858468
9,10,190,3,50.0,7420,1,1,3,3,0,0,0,3,0,0,1,1,1.791759469228055,6,1939,1950,1,1,8,8,2,0.0,3,4,0,4,4,4,2,851,6,0,140,991,1,0,1,4,1077,0,0,6.982862751468942,1,0,1,0,2,2,3,5,6,2,5,1,1939.0,2,1,205,2,5,2,0,4,0,0,0,0,3,4,1,0,1,2008,8,4,11.678448377988165
10,11,20,3,70.0,11200,1,1,3,3,0,4,0,19,2,2,0,2,1.791759469228055,5,1965,1965,3,1,6,6,2,0.0,3,4,1,4,4,4,5,906,6,0,134,1040,1,0,1,4,1040,0,0,6.947937068614969,1,0,1,0,3,1,3,5,6,0,3,5,1965.0,3,1,384,5,5,2,0,0,0,0,0,0,3,4,1,0,2,2008,8,4,11.771443882099637
